1	0.04	15.0	6	100
2	0.04	13.2	6	200
3	0.05	13	6	300
4	0.04	46.5	6	450
5	0.05	13	6	550
6	0.05	78	6	630
7	0.04	13.4	6	100
8	0.05	13.5	6	200
9	0.03	13.6	6	300
10	0.05	13.4	6	450
11	0.02	37.9	6	550
12	0.03	13	6	700
13	0.03	13.2	6	750
14	0.03	42.1	6	800
15	0.03	40.5	6	830
16	1.83	24.6	6	850
17	2.66	34.4	9	850
23	0.42	26.4	11	268
24	0.29	26.2	11	348
25	0.83	26.1	11	500
26	0.43	26.1	11	675
27	0.60	25.9	11	851
32	0.04	154.	9	300
33	0.91	20.7	9	449
34	1.41	19.2	9	855
37	0.54	143.	6.5	124
38	0.57	120.	6.5	233
39	0.35	27.1	6.5	400
49	0.37	214.	2.5	127
52	0.25	203.	2.7	100
57	0.31	116.	7	121
58	0.08	24.2	7	851
62	0.06	92.2	5	90
63	0.10	119.6	5	850
89	0.37	0	6	850
90	2.20	91.3	8.5	850
91	2.08	116.	14	850
92	0.63	80.6	24	850
93	0.96	43.8	7	850
94	0.94	44.9	8	850
96	1.49	73.9	10	850
97	2.27	74.6	5.5	850
98	1.81	75.6	8	850
99	0.88	30.1	5	850
100	0.86	29.9	6.5	850
101	0.92	29.4	6	850
102	1.04	28.9	4	850
103	0.89	27.9	5	850
104	1.88	30.8	8	102
107	0.11	30.8	8	100
108	0.11	27.2	8	200
109	0.05	25.6	8	850
124	1.52	58	8	850
125	0.45	13.8	10	850
126	0.16	173.	10	850
127	0.68	8.0	10	850


